aquarius_name,full_id,plot_id,tree_id,plot_type,species,x_32632,y_32632,dbh_m,tls_height_m,qr_code_id
Beech_Mixed_10,4_61,4,61,MixedPlot,Beech,416747.2247,5346758.6,0.159154943091895,28.6064603,https://dt.unr.uni-freiburg.de/ecosense/4_61
DouglasFir_Mixed_2,4_62,4,62,MixedPlot,Douglas Fir,416748.930375975,5346759.15983883,0.598422586025526,,https://dt.unr.uni-freiburg.de/ecosense/4_62
Beech_Mixed_11,4_65,4,65,MixedPlot,Beech,416754.109018071,5346758.42761173,0.159154943091895,27.70761175,https://dt.unr.uni-freiburg.de/ecosense/4_65
Beech_Mixed_1,4_67,4,67,MixedPlot,Beech,416758.791719972,5346760.98720913,0.391521160006063,,https://dt.unr.uni-freiburg.de/ecosense/4_67
Beech_Mixed_2,5_31,5,31,MixedPlot,Beech,416761.8818,5346757.8,0.452000038380983,29.13032305,https://dt.unr.uni-freiburg.de/ecosense/5_31
DouglasFir_Mixed_5,8_15,8,15,MixedPlot,Douglas Fir,416739.17463228,5346746.65375642,0.544309905374282,,https://dt.unr.uni-freiburg.de/ecosense/8_15
Beech_Mixed_8,8_16,8,16,MixedPlot,Beech,416741.364568524,5346744.42893538,0.210084524881302,,https://dt.unr.uni-freiburg.de/ecosense/8_16
DouglasFir_Mixed_3,8_17,8,17,MixedPlot,Douglas Fir,416743.4499,5346753.502,0.550676103097958,32.72774584,https://dt.unr.uni-freiburg.de/ecosense/8_17
DouglasFir_Mixed_1,8_18,8,18,MixedPlot,Douglas Fir,416752.475357117,5346750.62977173,0.302394391874601,,https://dt.unr.uni-freiburg.de/ecosense/8_18
Beech_Mixed_9,8_20,8,20,MixedPlot,Beech,416748.5884,5346749.9,0.162338041953733,27.6717414,https://dt.unr.uni-freiburg.de/ecosense/8_20
DouglasFir_Mixed_6,8_23,8,23,MixedPlot,Douglas Fir,416752.967953518,5346746.09019684,0.346957775940332,,https://dt.unr.uni-freiburg.de/ecosense/8_23
DouglasFir_Mixed_4,8_27,8,27,MixedPlot,Douglas Fir,416744.575059311,5346743.38897163,0.439267642933631,,https://dt.unr.uni-freiburg.de/ecosense/8_27
Beech_Mixed_5,8_29,8,29,MixedPlot,Beech,416748.175762414,5346736.59545574,0.28966199642725,24.1417939,https://dt.unr.uni-freiburg.de/ecosense/8_29
Beech_Mixed_4,9_2,9,2,MixedPlot,Beech,416761.931,5346751.534,0.327859182769304,27.24740432,https://dt.unr.uni-freiburg.de/ecosense/9_2
Beech_Mixed_6,9_4,9,4,MixedPlot,Beech,416761.782673965,5346748.23251959,0.13687325105903,,https://dt.unr.uni-freiburg.de/ecosense/9_4
Beech_Mixed_3,9_5,9,5,MixedPlot,Beech,416766.976118174,5346751.41925722,0.381971863420549,,https://dt.unr.uni-freiburg.de/ecosense/9_5
Beech_Mixed_7,9_34,9,34,MixedPlot,Beech,416761.1903,5346743.541,0.159154943091895,27.54763004,https://dt.unr.uni-freiburg.de/ecosense/9_34
Beech_Mixed_13,9_37,9,37,MixedPlot,Beech,416763.9346,5346735.576,0.404253555453414,28.47299354,https://dt.unr.uni-freiburg.de/ecosense/9_37
Beech_Mixed_14,9_39,9,39,MixedPlot,Beech,416761.2829,5346732.762,0.442450741795469,29.30369442,https://dt.unr.uni-freiburg.de/ecosense/9_39
